Symptom Description,Disease Name,Solution
mold of chilli roots,Root Rot,Apply urea or compost with high nitrogen content
yellowing of wheat roots,Leaf Blast,Improve drainage and avoid overwatering
patches of wheat stems,Leaf Blast,Spray insecticidal soap or horticultural oil
blight of wheat leaves,Downy Mildew,Use neem oil or Spinosad spray
blight of rice stems,Rust,Improve drainage and avoid overwatering
yellowing of maize stems,Root Rot,Use systemic fungicide like metalaxyl
powder of wheat flowers,Anthracnose,Spray insecticidal soap or horticultural oil
mold of maize fruits,Anthracnose,Use neem oil or Spinosad spray
curling of maize leaves,Bacterial Wilt,Apply urea or compost with high nitrogen content
blight of soybean leaves,Powdery Mildew,Use Tricyclazole or resistant variety
powder of pepper stems,Bacterial Wilt,Spray insecticidal soap or horticultural oil
wilting of cabbage stems,Nitrogen Deficiency,Spray sulfur-based fungicide
mold of tomato leaves,Downy Mildew,Remove infected plants and apply copper-based bactericide
blight of wheat leaves,Powdery Mildew,Spray insecticidal soap or horticultural oil
powder of brinjal flowers,Aphid Attack,Use neem oil or Spinosad spray
patches of chilli leaves,Downy Mildew,Use neem oil or Spinosad spray
yellowing of pepper flowers,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
mold of wheat fruits,Anthracnose,Apply appropriate insecticides and remove infected parts
curling of wheat flowers,Caterpillar Infestation,Use systemic fungicide like metalaxyl
spots of pepper stems,Downy Mildew,Use Tricyclazole or resistant variety
blight of maize fruits,Leaf Blast,Apply appropriate insecticides and remove infected parts
wilting of pepper flowers,Caterpillar Infestation,Use resistant plant varieties and rotate crops
wilting of soybean flowers,Bacterial Wilt,Remove infected plants and apply copper-based bactericide
wilting of rice fruits,Leaf Blast,Use neem oil or Spinosad spray
holes of tomato leaves,Nitrogen Deficiency,Remove infected plants and apply copper-based bactericide
powder of tomato flowers,Aphid Attack,Use systemic fungicide like metalaxyl
mold of cotton fruits,Leaf Blast,Use resistant plant varieties and rotate crops
curling of brinjal stems,Caterpillar Infestation,Remove infected plants and apply copper-based bactericide
spots of tomato leaves,Bacterial Wilt,Use Tricyclazole or resistant variety
yellowing of cotton flowers,Rust,Remove infected plants and apply copper-based bactericide
blight of chilli flowers,Bacterial Wilt,Use systemic fungicide like metalaxyl
blight of maize roots,Aphid Attack,Apply appropriate insecticides and remove infected parts
patches of brinjal fruits,Bacterial Wilt,Improve drainage and avoid overwatering
drooping of maize leaves,Powdery Mildew,Use systemic fungicide like metalaxyl
yellowing of tomato fruits,Anthracnose,Apply urea or compost with high nitrogen content
patches of cabbage flowers,Bacterial Wilt,Use Tricyclazole or resistant variety
patches of pepper roots,Aphid Attack,Use neem oil or Spinosad spray
blight of brinjal flowers,Root Rot,Use Tricyclazole or resistant variety
yellowing of wheat leaves,Powdery Mildew,Improve drainage and avoid overwatering
mold of pepper roots,Bacterial Wilt,Improve drainage and avoid overwatering
wilting of soybean roots,Root Rot,Apply urea or compost with high nitrogen content
curling of cotton flowers,Root Rot,Spray sulfur-based fungicide
blight of maize stems,Aphid Attack,Spray sulfur-based fungicide
spots of tomato flowers,Root Rot,Improve drainage and avoid overwatering
patches of rice stems,Rust,Remove infected plants and apply copper-based bactericide
spots of rice roots,Bacterial Wilt,Apply urea or compost with high nitrogen content
blight of cotton roots,Root Rot,Use resistant plant varieties and rotate crops
powder of maize roots,Powdery Mildew,Improve drainage and avoid overwatering
powder of soybean leaves,Anthracnose,Spray insecticidal soap or horticultural oil
patches of chilli leaves,Aphid Attack,Remove infected plants and apply copper-based bactericide
wilting of brinjal roots,Leaf Blast,Apply appropriate insecticides and remove infected parts
wilting of cotton flowers,Rust,Spray sulfur-based fungicide
blight of rice roots,Nitrogen Deficiency,Remove infected plants and apply copper-based bactericide
patches of maize fruits,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
powder of brinjal flowers,Aphid Attack,Remove infected plants and apply copper-based bactericide
spots of chilli flowers,Anthracnose,Remove infected plants and apply copper-based bactericide
wilting of maize stems,Root Rot,Spray sulfur-based fungicide
curling of rice fruits,Nitrogen Deficiency,Spray sulfur-based fungicide
blight of rice stems,Anthracnose,Apply appropriate insecticides and remove infected parts
drooping of rice roots,Rust,Spray insecticidal soap or horticultural oil
mold of cotton leaves,Leaf Blast,Remove infected plants and apply copper-based bactericide
curling of rice stems,Anthracnose,Apply appropriate insecticides and remove infected parts
yellowing of cotton leaves,Nitrogen Deficiency,Apply appropriate insecticides and remove infected parts
drooping of soybean roots,Bacterial Wilt,Apply appropriate insecticides and remove infected parts
blight of tomato fruits,Anthracnose,Remove infected plants and apply copper-based bactericide
powder of tomato flowers,Rust,Spray sulfur-based fungicide
powder of soybean fruits,Rust,Use resistant plant varieties and rotate crops
mold of chilli stems,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
blight of chilli flowers,Downy Mildew,Spray sulfur-based fungicide
mold of maize fruits,Downy Mildew,Use resistant plant varieties and rotate crops
spots of maize stems,Root Rot,Improve drainage and avoid overwatering
patches of wheat flowers,Caterpillar Infestation,Apply urea or compost with high nitrogen content
curling of wheat roots,Bacterial Wilt,Use neem oil or Spinosad spray
drooping of cabbage stems,Bacterial Wilt,Use Tricyclazole or resistant variety
powder of pepper stems,Anthracnose,Use resistant plant varieties and rotate crops
blight of cabbage fruits,Rust,Spray insecticidal soap or horticultural oil
drooping of rice fruits,Rust,Use resistant plant varieties and rotate crops
holes of cotton roots,Leaf Blast,Use systemic fungicide like metalaxyl
wilting of cabbage fruits,Leaf Blast,Spray insecticidal soap or horticultural oil
spots of brinjal leaves,Nitrogen Deficiency,Improve drainage and avoid overwatering
mold of brinjal leaves,Leaf Blast,Use Tricyclazole or resistant variety
holes of chilli fruits,Aphid Attack,Improve drainage and avoid overwatering
drooping of soybean leaves,Rust,Use neem oil or Spinosad spray
blight of soybean flowers,Nitrogen Deficiency,Use systemic fungicide like metalaxyl
drooping of brinjal flowers,Anthracnose,Remove infected plants and apply copper-based bactericide
drooping of chilli fruits,Root Rot,Spray sulfur-based fungicide
patches of cabbage stems,Bacterial Wilt,Remove infected plants and apply copper-based bactericide
patches of cotton stems,Aphid Attack,Apply appropriate insecticides and remove infected parts
blight of rice stems,Downy Mildew,Use systemic fungicide like metalaxyl
mold of wheat roots,Nitrogen Deficiency,Use systemic fungicide like metalaxyl
yellowing of cotton stems,Bacterial Wilt,Use neem oil or Spinosad spray
blight of pepper leaves,Caterpillar Infestation,Apply urea or compost with high nitrogen content
wilting of maize leaves,Caterpillar Infestation,Apply appropriate insecticides and remove infected parts
spots of pepper roots,Caterpillar Infestation,Use Tricyclazole or resistant variety
wilting of rice fruits,Root Rot,Use Tricyclazole or resistant variety
wilting of chilli leaves,Nitrogen Deficiency,Apply urea or compost with high nitrogen content
powder of maize roots,Rust,Improve drainage and avoid overwatering
curling of rice leaves,Aphid Attack,Use systemic fungicide like metalaxyl
drooping of chilli fruits,Nitrogen Deficiency,Use systemic fungicide like metalaxyl
patches of wheat fruits,Powdery Mildew,Use Tricyclazole or resistant variety
yellowing of rice roots,Bacterial Wilt,Improve drainage and avoid overwatering
yellowing of maize stems,Powdery Mildew,Use Tricyclazole or resistant variety
patches of tomato flowers,Anthracnose,Apply urea or compost with high nitrogen content
blight of cotton flowers,Powdery Mildew,Remove infected plants and apply copper-based bactericide
mold of chilli flowers,Anthracnose,Use resistant plant varieties and rotate crops
holes of cotton stems,Nitrogen Deficiency,Use systemic fungicide like metalaxyl
wilting of soybean leaves,Powdery Mildew,Use systemic fungicide like metalaxyl
curling of rice flowers,Caterpillar Infestation,Use neem oil or Spinosad spray
mold of cabbage roots,Leaf Blast,Apply appropriate insecticides and remove infected parts
blight of pepper stems,Caterpillar Infestation,Use Tricyclazole or resistant variety
holes of cabbage roots,Powdery Mildew,Improve drainage and avoid overwatering
holes of cotton fruits,Downy Mildew,Use resistant plant varieties and rotate crops
patches of rice leaves,Bacterial Wilt,Use Tricyclazole or resistant variety
patches of rice flowers,Powdery Mildew,Use neem oil or Spinosad spray
curling of rice stems,Downy Mildew,Spray sulfur-based fungicide
blight of cabbage leaves,Nitrogen Deficiency,Spray insecticidal soap or horticultural oil
holes of tomato flowers,Aphid Attack,Apply urea or compost with high nitrogen content
yellowing of soybean roots,Leaf Blast,Remove infected plants and apply copper-based bactericide
spots of soybean fruits,Bacterial Wilt,Spray insecticidal soap or horticultural oil
holes of brinjal flowers,Root Rot,Improve drainage and avoid overwatering
blight of cotton fruits,Nitrogen Deficiency,Apply appropriate insecticides and remove infected parts
wilting of rice flowers,Aphid Attack,Use neem oil or Spinosad spray
powder of brinjal leaves,Leaf Blast,Remove infected plants and apply copper-based bactericide
powder of rice roots,Root Rot,Use systemic fungicide like metalaxyl
wilting of chilli stems,Caterpillar Infestation,Apply appropriate insecticides and remove infected parts
patches of pepper roots,Anthracnose,Use neem oil or Spinosad spray
yellowing of cabbage flowers,Nitrogen Deficiency,Use Tricyclazole or resistant variety
spots of maize stems,Powdery Mildew,Improve drainage and avoid overwatering
holes of cotton roots,Anthracnose,Apply appropriate insecticides and remove infected parts
blight of brinjal roots,Aphid Attack,Remove infected plants and apply copper-based bactericide
spots of tomato leaves,Downy Mildew,Use resistant plant varieties and rotate crops
blight of cabbage stems,Aphid Attack,Spray sulfur-based fungicide
curling of pepper stems,Nitrogen Deficiency,Use Tricyclazole or resistant variety
blight of cabbage flowers,Root Rot,Use Tricyclazole or resistant variety
patches of cabbage roots,Aphid Attack,Spray insecticidal soap or horticultural oil
wilting of soybean roots,Leaf Blast,Use Tricyclazole or resistant variety
powder of pepper stems,Bacterial Wilt,Improve drainage and avoid overwatering
powder of brinjal flowers,Downy Mildew,Spray sulfur-based fungicide
patches of pepper leaves,Anthracnose,Use resistant plant varieties and rotate crops
powder of pepper fruits,Anthracnose,Spray sulfur-based fungicide
yellowing of tomato leaves,Leaf Blast,Use systemic fungicide like metalaxyl
holes of soybean leaves,Caterpillar Infestation,Use Tricyclazole or resistant variety
mold of wheat roots,Leaf Blast,Use resistant plant varieties and rotate crops
powder of brinjal fruits,Leaf Blast,Spray sulfur-based fungicide
yellowing of cotton leaves,Aphid Attack,Use Tricyclazole or resistant variety
blight of wheat stems,Root Rot,Use Tricyclazole or resistant variety
drooping of cabbage roots,Aphid Attack,Apply appropriate insecticides and remove infected parts
curling of tomato stems,Leaf Blast,Spray sulfur-based fungicide
holes of cotton stems,Powdery Mildew,Use systemic fungicide like metalaxyl
holes of rice roots,Nitrogen Deficiency,Improve drainage and avoid overwatering
curling of soybean leaves,Caterpillar Infestation,Apply appropriate insecticides and remove infected parts
mold of soybean roots,Bacterial Wilt,Use neem oil or Spinosad spray
drooping of brinjal flowers,Nitrogen Deficiency,Use resistant plant varieties and rotate crops
mold of wheat stems,Anthracnose,Use Tricyclazole or resistant variety
yellowing of pepper flowers,Downy Mildew,Apply urea or compost with high nitrogen content
mold of brinjal roots,Anthracnose,Remove infected plants and apply copper-based bactericide
patches of pepper leaves,Downy Mildew,Apply appropriate insecticides and remove infected parts
powder of cabbage flowers,Aphid Attack,Spray insecticidal soap or horticultural oil
patches of soybean roots,Root Rot,Remove infected plants and apply copper-based bactericide
drooping of cotton fruits,Bacterial Wilt,Apply appropriate insecticides and remove infected parts
holes of soybean flowers,Powdery Mildew,Spray sulfur-based fungicide
drooping of cabbage fruits,Downy Mildew,Improve drainage and avoid overwatering
spots of pepper flowers,Leaf Blast,Spray sulfur-based fungicide
holes of tomato stems,Bacterial Wilt,Improve drainage and avoid overwatering
spots of brinjal leaves,Rust,Remove infected plants and apply copper-based bactericide
patches of tomato stems,Root Rot,Use resistant plant varieties and rotate crops
powder of rice flowers,Aphid Attack,Apply appropriate insecticides and remove infected parts
powder of wheat roots,Powdery Mildew,Improve drainage and avoid overwatering
patches of pepper flowers,Bacterial Wilt,Use systemic fungicide like metalaxyl
blight of tomato stems,Nitrogen Deficiency,Apply urea or compost with high nitrogen content
wilting of cotton flowers,Bacterial Wilt,Use neem oil or Spinosad spray
curling of brinjal roots,Bacterial Wilt,Improve drainage and avoid overwatering
yellowing of brinjal fruits,Root Rot,Spray insecticidal soap or horticultural oil
patches of maize flowers,Root Rot,Use resistant plant varieties and rotate crops
mold of wheat fruits,Downy Mildew,Apply urea or compost with high nitrogen content
patches of soybean roots,Root Rot,Spray sulfur-based fungicide
wilting of cotton fruits,Bacterial Wilt,Apply appropriate insecticides and remove infected parts
wilting of chilli flowers,Caterpillar Infestation,Use neem oil or Spinosad spray
wilting of soybean fruits,Downy Mildew,Apply appropriate insecticides and remove infected parts
drooping of brinjal roots,Nitrogen Deficiency,Remove infected plants and apply copper-based bactericide
mold of chilli roots,Anthracnose,Spray sulfur-based fungicide
blight of rice roots,Root Rot,Spray sulfur-based fungicide
patches of rice leaves,Anthracnose,Use resistant plant varieties and rotate crops
patches of cotton fruits,Nitrogen Deficiency,Spray insecticidal soap or horticultural oil
curling of pepper flowers,Anthracnose,Use resistant plant varieties and rotate crops
patches of cabbage fruits,Rust,Use Tricyclazole or resistant variety
blight of brinjal fruits,Rust,Remove infected plants and apply copper-based bactericide
patches of brinjal stems,Powdery Mildew,Improve drainage and avoid overwatering
holes of chilli leaves,Aphid Attack,Remove infected plants and apply copper-based bactericide
blight of pepper leaves,Rust,Improve drainage and avoid overwatering
curling of maize leaves,Anthracnose,Use neem oil or Spinosad spray
yellowing of brinjal leaves,Caterpillar Infestation,Improve drainage and avoid overwatering
drooping of chilli stems,Downy Mildew,Use systemic fungicide like metalaxyl
curling of rice roots,Rust,Remove infected plants and apply copper-based bactericide
patches of pepper fruits,Rust,Remove infected plants and apply copper-based bactericide
mold of cabbage roots,Leaf Blast,Use neem oil or Spinosad spray
drooping of cabbage leaves,Root Rot,Spray insecticidal soap or horticultural oil
holes of cabbage leaves,Bacterial Wilt,Use resistant plant varieties and rotate crops
patches of cotton flowers,Downy Mildew,Use resistant plant varieties and rotate crops
curling of brinjal fruits,Nitrogen Deficiency,Apply urea or compost with high nitrogen content
wilting of chilli leaves,Root Rot,Apply appropriate insecticides and remove infected parts
powder of soybean fruits,Anthracnose,Spray sulfur-based fungicide
blight of brinjal flowers,Rust,Use Tricyclazole or resistant variety
